agency_id,agency_name,license_number,status,contact_info,city
AG095,R.B.S. Brothers,0806 / RWP,Active,,Rawalpindi
AG096,Liaqat Travel International,0809 / LHR,Active,,Lahore
AG097,Raza International Corporation,0812 / LHR,Active,,Lahore
AG098,Islamabad Overseas Employment Promoter,0814 / RWP,Active,,Rawalpindi
AG099,Paracha Enterprises,0819 / RWP,Active,,Rawalpindi
AG100,Arfat International,0822 / LHR,Active,,Lahore
AG101,Mehboob Enterprises,0833 / RWP,Active,,Rawalpindi
AG102,Ovais Traders,0834 / RWP,Active,,Rawalpindi
AG103,Jan Express,0835 / PWR,Active,,
AG104,Bilal Enterprises,0838 / KAR,Active,,Karachi
AG105,The Premier International,0844 / LHR,Active,,Lahore
AG106,Rawal International,0848 / LHR,Active,,Lahore
AG107,Al-Mubashir Recruiting Agency,0849 / RWP,Active,,Rawalpindi
AG108,Al-Ghaffar Travel Agency,0851 / KAR,Active,,Karachi
AG109,M.R. Chaudhray & Co.,0857 / RWP,Active,,Rawalpindi
AG110,Al-Qudus International,0859 / RWP,Active,,Rawalpindi
AG111,Air International,0863 / RWP,Active,,Rawalpindi
AG112,Polani (Overseas) Agency,0871 / KAR,Active,,Karachi
AG113,Badar Corporation,0878 / RWP,Active,,Rawalpindi
AG114,Abid Enterprises,0879 / RWP,Active,,Rawalpindi
AG115,Al-Karam International,0882 / KAR,Active,,Karachi
AG116,Jehad Recruiting Agency,0892 / MLK,Active,,Malakand
AG117,Al-Najam International,0899 / LHR,Active,,Lahore
AG118,Zeb Travels,0903 / RWP,Active,,Rawalpindi
AG119,Rex International,0905 / GRT,Active,,Gujrat
AG120,Ch. Zakaullah Recruiting Agency,0911 / SKT,Active,,Sialkot
AG121,Al-Ghousia Enterprises,0918 / RWP,Active,,Rawalpindi
AG122,Sadullah Enterprises,0921 / MLK,Active,,Malakand
AG123,Harmain Enterprises,0922 / KAR,Active,,Karachi
AG124,Ittefaq Recruiting Agency,0923 / LHR,Active,,Lahore
AG125,Globe Corporation,0924 / LHR,Active,,Lahore
AG126,SKY Kings Travel,0938 / SKT,Active,,Sialkot
AG127,Jamshaid Corporation,0939 / RWP,Active,,Rawalpindi
AG128,Mian Labour Flow Enterprises,0941 / LHR,Active,,Lahore
AG129,Hussain & Co.,0947 / RWP,Active,,Rawalpindi
AG130,Abu-Al-Hassan Trading Corporation,0949 / RWP,Active,,Rawalpindi
AG131,R.S Recruiting Agency,0951 / RWP,Active,,Rawalpindi
AG132,Pamela Travels,0956 / SKT,Active,,Sialkot
AG133,Al-Mansoor Enterprises,0959 / KAR,Active,,Karachi
AG134,Hafiz Muhammad & Sons Travel Services Manpower Promoters,0962 / SKT,Active,,Sialkot
AG135,Sethi Corporation,0964 / RWP,Active,,Rawalpindi
AG136,Ashraf & Sons,0967 / RWP,Active,,Rawalpindi
AG137,Al-Sadaf Traders,0970 / RWP,Active,,Rawalpindi
AG138,Islamic Manpower Promoters,0972 / RWP,Active,,Rawalpindi
AG139,Abid Recruting Agency,0977 / MLK,Active,,Malakand
AG140,Ayub International,0981 / LHR,Active,,Lahore
AG141,Shoaib Associates,0983 / KAR,Active,,Karachi
AG142,Bismillah  International,0990 / RWP,Active,,Rawalpindi
AG143,Raja Javed Enterprises,0999 / RWP,Active,,Rawalpindi
AG144,Haris International,1008 / RWP,Active,,Rawalpindi
AG145,National Manpower Bureau,1018 / LHR,Active,,Lahore
AG146,Sabhia Enterprises,1025 / KAR,Active,,Karachi
AG147,Afzal Enterprises,1032 / RWP,Active,,Rawalpindi
AG148,Pothohar Manpower,1040 / RWP,Active,,Rawalpindi
AG149,Munir Recruiting Agency,1046 / LHR,Active,,Lahore
AG150,Pak Kashmir Overseas Corporation,1047 / KAR,Active,,Karachi
AG151,Aqsa Enterprises,1052 / LHR,Active,,Lahore
AG152,Al-Rauf International,1055 / RWP,Active,,Rawalpindi
AG153,Hira Corporation,1061 / RWP,Active,,Rawalpindi
AG154,Swal Khan Recruiting Agency,1062 / MLK,Active,,Malakand
AG155,S.B Enterprises,1063 / RWP,Active,,Rawalpindi
AG156,Medcon International,1066 / LHR,Active,,Lahore
AG157,Al-Kohsar International,1067 / RWP,Active,,Rawalpindi
AG158,Blue Moon Enterpises,1074 / RWP,Active,,Rawalpindi
AG159,Sarban Recruiting Agency,1082 / ABT,Active,,Abbottabad
AG160,Al-Harmain International,1086 / RWP,Active,,Rawalpindi
AG161,Usman & Brothers,1088 / KAR,Active,,Karachi
AG162,Al Hayat Overseas,1096 / LHR,Active,,Lahore
AG163,Kafeel Corporation,1101 / LHR,Active,,Lahore
AG164,Zubair International,1112 / KAR,Active,,Karachi
AG165,Master Khalil Recruiting Agency,1120 / MLK,Active,,Malakand
AG166,Pearltec Pakistan Private limited,1123 / RWP,Active,,Rawalpindi
AG167,M.J. Enterprises,1151 / RWP,Active,,Rawalpindi
AG168,Rehmani Recruiting Agency,1153 / KAR,Active,,Karachi
AG169,Al-Ejaz International,1157 / LHR,Active,,Lahore
AG170,Supreme Travels & Overseas Employment,1159 / MTN,Active,,
AG171,Abaseen Enterprises,1162 / MLK,Active,,Malakand
AG172,SWAT CORPORATION,1164 / MLK,Active,,Malakand
AG173,Amigo Trading Corporation,1165 / RWP,Active,,Rawalpindi
AG174,Gulistan Recruiting Agency,1177 / RWP,Active,,Rawalpindi
AG175,Pine Hills International,1180 / RWP,Active,,Rawalpindi
AG176,Talal International,1191 / RWP,Active,,Rawalpindi
AG177,Rabat Corporation,1196 / MLK,Active,,Malakand
AG178,Al-Falah Enterprises,1197 / RWP,Active,,Rawalpindi
AG179,Afridi Ent.,1199 / PWR,Active,,
AG180,Waseem Recruiting & Travel Services,1200 / SKT,Active,,Sialkot
AG181,Faisal Farooque Manpower Exporte,1204 / LHR,Active,,Lahore
AG182,Al-Qayyum International,1206 / RWP,Active,,Rawalpindi
AG183,The Pak Consultant Overseas Manpower,1212 / RWP,Active,,Rawalpindi
AG184,Khall Recruiting Agency,1213 / MLK,Active,,Malakand
AG185,Malik Muhammad Azam OEP,1224 / LHR,Active,,Lahore
AG186,G.S. Manpower International,1227 / RWP,Active,,Rawalpindi
AG187,Aziz Manpower Services,1229 / RWP,Active,,Rawalpindi
AG188,Aman Recruiting Agency,1240 / MLK,Active,,Malakand
AG189,Chitral Recruiting Agency,1242 / MLK,Active,,Malakand
AG190,Frontier Overseas Recruiting Agency,1248 / MLK,Active,,Malakand
AG191,Gorsi  Corporation,1255 / SKT,Active,,Sialkot
AG192,S.T. Francies Enterprises,1258 / KAR,Active,,Karachi
AG193,Caravan International Services,1262 / KAR,Active,,Karachi
AG194,Al-Marjan Enterprises,1263 / RWP,Active,,Rawalpindi
AG195,Tayyab Enterprises,1265 / KAR,Active,,Karachi
AG196,Buner Recruiting Agency,1270 / RWP,Active,,Rawalpindi
AG197,Unique Manpower Services,1271 / RWP,Active,,Rawalpindi
AG198,Tania & Brothers,1272 / GRT,Active,,Gujrat
AG199,Kay Kay and Kay Associates,1273 / LHR,Active,,Lahore
AG200,Shawakhoon,1274 / PWR,Active,,
AG201,Yousuf Zai Entt,1277 / KAR,Active,,Karachi
AG202,Al-Hafiz Enterprises,1279 / KAR,Active,,Karachi
AG203,Bakht Rawan Recruiting Agency,1281 / MLK,Active,,Malakand
AG204,Zia Recruiting Agency,1285 / MLK,Active,,Malakand
AG205,Ahbab Corporation,1286 / MLK,Active,,Malakand
