agency_id,agency_name,license_number,status,contact_info,city
AG418,Karimi Contracting,1896 / KAR,Active,,Karachi
AG419,Hanif Traders,1898 / KAR,Active,,Karachi
AG420,Islam Brothers Recruiting Agency,1900 / RWP,Active,,Rawalpindi
AG421,Saddozai Overseas Employment Services,1901 / RWP,Active,,Rawalpindi
AG422,Al-Tauqeer International,1902 / RWP,Active,,Rawalpindi
AG423,Talash Recruiting Agency,1903 / MLK,Active,,Malakand
AG424,Doaba Overseas Traders,1906 / PWR,Active,,
AG425,Dollar Enterprises,1907 / RWP,Active,,Rawalpindi
AG426,Al-Wafa International,1913 / MTN,Active,,
AG427,Gohar Iqbal International Overseas Employment Promoter,1915 / LHR,Active,,Lahore
AG428,Overseas Employment Bureau,1918 / RWP,Active,,Rawalpindi
AG429,First Al-Sultania Group,1920 / GRT,Active,,Gujrat
AG430,A.M. International,1921 / LHR,Active,,Lahore
AG431,Self Reliance OEP,1926 / RWP,Active,,Rawalpindi
AG432,New Khattak Ent,1927 / PWR,Active,,
AG433,Kanwar Recruiting Agency,1928 / MTN,Active,,
AG434,Sana International,1932 / RWP,Active,,Rawalpindi
AG435,Recruitmen International,1937 / KAR,Active,,Karachi
AG436,Speen Mohmand Overseas Corporation,1938 / PWR,Active,,
AG437,Al-Saudia Overseas,1941 / PWR,Active,,
AG438,Zam Zam Manpower,1942 / MLK,Active,,Malakand
AG439,Ch. Muhammad Younis International,1944 / RWP,Active,,Rawalpindi
AG440,Riasat International,1947 / RWP,Active,,Rawalpindi
AG441,Al-Wadood Traders,1948 / MLK,Active,,Malakand
AG442,Al-Azhar Recruiting Agency,1949 / MLK,Active,,Malakand
AG443,Al-Tamani General Services,1950 / RWP,Active,,Rawalpindi
AG444,Al Musaid Enterprises,1951 / SKT,Active,,Sialkot
AG445,Mufti Enterprises Overseas Employment Promoters,1954 / RWP,Active,,Rawalpindi
AG446,Source Net International,1956 / LHR,Active,,Lahore
AG447,Bacha Khan Recruiting Agency,1957 / MLK,Active,,Malakand
AG448,Timergara Corporation,1962 / MLK,Active,,Malakand
AG449,Urgent Recruiting Agency,1963 / MLK,Active,,Malakand
AG450,Laiba Corporation,1965 / MLK,Active,,Malakand
AG451,Prominent Manpower Services,1968 / KAR,Active,,Karachi
AG452,Kalam International,1969 / MLK,Active,,Malakand
AG453,Saher International,1970 / MTN,Active,,
AG454,Pak Set Trading Co,1971 / SKT,Active,,Sialkot
AG455,Hamza Usman Travels,1973 / DGK,Active,,D.G. Khan
AG456,Euro International,1975 / KAR,Active,,Karachi
AG457,Zarar International Agency,1976 / MLK,Active,,Malakand
AG458,Firdous Travels,1979 / DGK,Active,,D.G. Khan
AG459,Raza Khan Corporation,1980 / MLK,Active,,Malakand
AG460,Al-Hamza Corporation,1983 / MLK,Active,,Malakand
AG461,Pak Channel Overseas Employment Promoters,1986 / RWP,Active,,Rawalpindi
AG462,Al Akram Enterprises,1987 / SKT,Active,,Sialkot
AG463,Iqrar Recruiting Agency,1988 / MLK,Active,,Malakand
AG464,Satti Overseas Employment Services,1989 / RWP,Active,,Rawalpindi
AG465,Shams Enterprises Recruiting Agency,1990 / MLK,Active,,Malakand
AG466,Taqwa International Overseas Employment,1992 / LHR,Active,,Lahore
AG467,Job Track Manpower Bureau,1993 / RWP,Active,,Rawalpindi
AG468,Al-Qasim Recruitment Bureau,1996 / RWP,Active,,Rawalpindi
AG469,Saifoor and Nazeef Recruiting Agency,1997 / MLK,Active,,Malakand
AG470,Jam Pur International,1998 / DGK,Active,,D.G. Khan
AG471,Sun Consulting Pvt Ltd,2001 / KAR,Active,,Karachi
AG472,Time Travel Services,2002 / DGK,Active,,D.G. Khan
AG473,New City Recruiting Bureau,2003 / SKT,Active,,Sialkot
AG474,Al-Ghafoor International,2004 / MTN,Active,,
AG475,Abbas Recruiting Agency,2006 / MLK,Active,,Malakand
AG476,World Business Corporation,2009 / PWR,Active,,
AG477,United Enterprises Co.,2013 / RWP,Active,,Rawalpindi
AG478,Kainaat Overseas Employment Promoter,2026 / RWP,Active,,Rawalpindi
AG479,Khalool International,2028 / DGK,Active,,D.G. Khan
AG480,Munawara International,2033 / DGK,Active,,D.G. Khan
AG481,Sunehra Enterprises,2034 / PWR,Active,,
AG482,Wahab Corporation,2035 / MLK,Active,,Malakand
AG483,Sarmad International,2036 / MTN,Active,,
AG484,Indus Corporation,2039 / LHR,Active,,Lahore
AG485,Roman Corporation,2040 / MLK,Active,,Malakand
AG486,Sada Bahar International,2043 / MLK,Active,,Malakand
AG487,Baqir International,2044 / DGK,Active,,D.G. Khan
AG488,Two Star International Recruiting Agency,2048 / MLK,Active,,Malakand
AG489,Ashah Khel Recruiting Agency,2049 / MLK,Active,,Malakand
AG490,Al-Qaseem Overseas,2050 / PWR,Active,,
AG491,Lowari Recruiting Agency,2052 / MLK,Active,,Malakand
AG492,Julyal Corporation,2053 / RWP,Active,,Rawalpindi
AG493,Bloom International,2055 / RWP,Active,,Rawalpindi
AG494,Ihtisham Overseas Employment Promoter,2056 / RWP,Active,,Rawalpindi
AG495,Sair-ul-Alam Recruiting Agency,2057 / MTN,Active,,
AG496,Sharjeel Enterprises,2058 / KAR,Active,,Karachi
AG497,M.N.A. International,2059 / RWP,Active,,Rawalpindi
AG498,Khizria Recruiting Agency,2063 / RWP,Active,,Rawalpindi
AG499,Sona Khan Buzdar Baloch Enterprises,2065 / DGK,Active,,D.G. Khan
AG500,Phatikhel Overseas,2066 / PWR,Active,,
AG501,Al-Insaf International,2067 / RWP,Active,,Rawalpindi
AG502,Mir Ali Overseas Agency,2068 / RWP,Active,,Rawalpindi
AG503,Seemab Aamina Emloyment Bureau,2069 / LHR,Active,,Lahore
AG504,Chandni Overseas Employment Agency,2070 / RWP,Active,,Rawalpindi
AG505,Al-Ahmed Naz Corporation,2071 / MLK,Active,,Malakand
AG506,Balana Overseas,2072 / PWR,Active,,
AG507,Shoeeb Habib Brothers Recruiting Agency,2073 / RWP,Active,,Rawalpindi
AG508,Salaal International,2076 / DGK,Active,,D.G. Khan
AG509,Al-Kharj Enterprises,2078 / PWR,Active,,
AG510,Al-Muqaddar Recruiting Agency,2080 / RWP,Active,,Rawalpindi
AG511,Mandi Manpower Services,2083 / GRT,Active,,Gujrat
AG512,Mirza International,2087 / SKT,Active,,Sialkot
AG513,Mardan International Agency,2088 / PWR,Active,,
AG514,Al-Shams Recruiting Agency,2089 / RWP,Active,,Rawalpindi
AG515,Haleem Shah Enterprises Overseas,2091 / PWR,Active,,
AG516,Al- Yamama Recruiting Agency,2092 / MLK,Active,,Malakand
AG517,Qurni Enterprises,2093 / RWP,Active,,Rawalpindi
AG518,Ghufran Enterprises,2095 / RWP,Active,,Rawalpindi
AG519,Owais Osama Enterprises,2096 / KAR,Active,,Karachi
AG520,Kumrat Enterprises,2097 / MLK,Active,,Malakand
AG521,Sahara Overseas Employment Corporation,2099 / ABT,Active,,Abbottabad
AG522,Sumaira International,2102 / KAR,Active,,Karachi
AG523,Najeeb Recruiting Agency,2104 / MLK,Active,,Malakand
AG524,Cosmos Manpower Services,2106 / LHR,Active,,Lahore
AG525,Pakistan Manpower Bureau,2107 / RWP,Active,,Rawalpindi
AG526,Al-Tahir Recruiting Agency,2108 / PWR,Active,,
AG527,Islamabad Overseas Recruiting Agency,2109 / RWP,Active,,Rawalpindi
AG528,Huzaifa Enterprises,2110 / KAR,Active,,Karachi
AG529,Umair International,2113 / MLK,Active,,Malakand
AG530,Al-Asif Recruiting Agency,2116 / PWR,Active,,
AG531,Jabal-e-Noor Enterprises,2117 / RWP,Active,,Rawalpindi
AG532,Shawal Overseas Employment Promoters,2120 / RWP,Active,,Rawalpindi
AG533,Farah International,2121 / RWP,Active,,Rawalpindi
AG534,Mir Enterprises,2122 / PWR,Active,,
AG535,Sabeena Enterprises,2124 / PWR,Active,,
AG536,Al-Qaim International,2127 / RWP,Active,,Rawalpindi
AG537,Mashwani Overseas Corporation,2128 / RWP,Active,,Rawalpindi
AG538,Al Haseef Enterprises,2131 / SKT,Active,,Sialkot
AG539,Majmoah Saadullah,2133 / DGK,Active,,D.G. Khan
AG540,Shani International,2134 / MTN,Active,,
AG541,Hawazan Recruiting Agency,2135 / MLK,Active,,Malakand
AG542,Elum Recruiting Agency,2136 / MLK,Active,,Malakand
AG543,Al-Yasir International,2137 / RWP,Active,,Rawalpindi
AG544,Bahadur Recruiting Agency,2138 / MLK,Active,,Malakand
AG545,Pak Cresco Enterprises Pvt Ltd,2142 / LHR,Active,,Lahore
AG546,Falak Seer International Recruiting Agency,2144 / MLK,Active,,Malakand
AG547,Advance Recruiting Overseas Employment Promoters,2145 / PWR,Active,,
AG548,Nasco International Recruiting Agency,2146 / MLK,Active,,Malakand
AG549,Akhoonkhel International Recruiting Agency,2149 / MLK,Active,,Malakand
AG550,Luna International,2150 / LHR,Active,,Lahore
AG551,Taaba Intrenational Recruiting Agency,2153 / RWP,Active,,Rawalpindi
AG552,Al Marakab International,2158 / SKT,Active,,Sialkot
AG553,Dahlawi Manpower Recruiting,2161 / KAR,Active,,Karachi
AG554,Janyal Recruiting Agency,2165 / RWP,Active,,Rawalpindi
AG555,Malakand Recruiting Agency,2166 / RWP,Active,,Rawalpindi
AG556,Hammad Recruiting Agency,2167 / MLK,Active,,Malakand
AG557,Chakdara International Agency,2168 / MLK,Active,,Malakand
AG558,Hairo Khan Buzdar International,2169 / DGK,Active,,D.G. Khan
AG559,Siyar Corporation,2170 / MLK,Active,,Malakand
AG560,Saif International Agency,2172 / RWP,Active,,Rawalpindi
AG561,Ithmanzai Recruiting Agency,2174 / RWP,Active,,Rawalpindi
AG562,Arabian Gulf International,2175 / RWP,Active,,Rawalpindi
AG563,Niaz Recruiting Agency,2178 / RWP,Active,,Rawalpindi
AG564,Gold Street Recruiting Agency,2180 / RWP,Active,,Rawalpindi
AG565,Shalman Traders,2181 / MLK,Active,,Malakand
AG566,Eagle Syndicate,2186 / RWP,Active,,Rawalpindi
AG567,Baloch Brothers,2189 / KAR,Active,,Karachi
AG568,Saareb International,2191 / DGK,Active,,D.G. Khan
AG569,Gillget Overseas Enterprises,2192 / PWR,Active,,
AG570,Jabballian Overseas Recruiting Agency,2193 / RWP,Active,,Rawalpindi
AG571,Akwam International,2194 / RWP,Active,,Rawalpindi
AG572,Neuro International,2195 / KAR,Active,,Karachi
AG573,The Sialkot Traders,2196 / SKT,Active,,Sialkot
AG574,Al Eshah Internatuional,2197 / SKT,Active,,Sialkot
AG575,Qadir International,2199 / DGK,Active,,D.G. Khan
AG576,Habib Brothers R/Agy PVT (LTD),2201 / MLK,Active,,Malakand
AG577,Afnan Recruiting Agency,2202 / MLK,Active,,Malakand
AG578,Misrial Enterprises,2203 / RWP,Active,,Rawalpindi
AG579,Qureshi Manpower Bureau,2205 / RWP,Active,,Rawalpindi
AG580,AL-IMRAN INTERNATIONAL,2206 / MLK,Active,,Malakand
AG581,Fajar Enterprises,2207 / RWP,Active,,Rawalpindi
AG582,Shah Zaman Manpower,2208 / RWP,Active,,Rawalpindi
AG583,Pak. Arsalan Corporation,2210 / ABT,Active,,Abbottabad
AG584,Al-Nakhil Enterprises,2213 / LHR,Active,,Lahore
AG585,Warda International,2214 / MLK,Active,,Malakand
AG586,Mian Enterprises,2215 / MLK,Active,,Malakand
AG587,Sareer Recruiting Agency,2218 / MLK,Active,,Malakand
AG588,Al-Fajjar Corporation,2219 / RWP,Active,,Rawalpindi
AG589,Al-Atique Recruiting Agency,2220 / PWR,Active,,
AG590,Toba International,2223 / LHR,Active,,Lahore
AG591,Abu Bakar Bilal Travel International,2224 / MTN,Active,,
AG592,Nasir Corporation,2227 / GRT,Active,,Gujrat
AG593,Al-Imran Brothers,2229 / PWR,Active,,
AG594,Rais Brothers,2234 / KAR,Active,,Karachi
AG595,Highland International,2235 / RWP,Active,,Rawalpindi
AG596,Sufyan Recruiting Agency,2237 / RWP,Active,,Rawalpindi
AG597,Touchi International Recruiting Agency,2238 / RWP,Active,,Rawalpindi
AG598,Red Rose Traders,2240 / PWR,Active,,
AG599,Al Asad International,2241 / RWP,Active,,Rawalpindi
AG600,Shafay International,2243 / KAR,Active,,Karachi
AG601,Afaq Overseas Promoters,2244 / PWR,Active,,
AG602,Saadoon Associates,2250 / RWP,Active,,Rawalpindi
AG603,Al-Bassami Recruiting Agency,2251 / RWP,Active,,Rawalpindi
AG604,Al-Qaiser Brothers,2253 / KAR,Active,,Karachi
AG605,Masassa Al Hajri Entt,2254 / SKT,Active,,Sialkot
AG606,Namir Brothers Recruiting Agency,2256 / MLK,Active,,Malakand
AG607,Al-Tawab International,2261 / RWP,Active,,Rawalpindi
AG608,Gul Shahzad Corporation & Manpower Consultants,2263 / RWP,Active,,Rawalpindi
AG609,M. G. Traders,2264 / RWP,Active,,Rawalpindi
AG610,Rolla Corporation,2266 / LHR,Active,,Lahore
AG611,Travel Kashmir Manpower Recruiting Agency,2275 / RWP,Active,,Rawalpindi
AG612,Brother Associates.,2279 / SKT,Active,,Sialkot
AG613,Mian Shamas Entt,2281 / SKT,Active,,Sialkot
AG614,Reliance Overseas Manpower Recruiting Agency,2282 / RWP,Active,,Rawalpindi
AG615,Azi Khel Recruiting Agency,2283 / MLK,Active,,Malakand
AG616,R.S. International,2292 / KAR,Active,,Karachi
AG617,HRS Overseas Employment Services,2296 / RWP,Active,,Rawalpindi
AG618,Al-Nasr Enterprises,2298 / RWP,Active,,Rawalpindi
AG619,Al Rabaz International,2300 / LHR,Active,,Lahore
AG620,A.R. Recruiting Agency,2303 / SKT,Active,,Sialkot
AG621,Express Overseas Employment Promoters,2304 / RWP,Active,,Rawalpindi
AG622,H.A. International,2305 / MLK,Active,,Malakand
AG623,Fowzan Traders,2309 / SKT,Active,,Sialkot
AG624,Barkha International (Pvt) Ltd.,2312 / RWP,Active,,Rawalpindi
AG625,Al Khaliq Enterprises,2314 / SKT,Active,,Sialkot
AG626,Zanib Recruiting Agency,2315 / RWP,Active,,Rawalpindi
AG627,S.H.Q Enterprises,2316 / SKT,Active,,Sialkot
AG628,New Geo Pak Overseas Employment Promoters,2317 / MTN,Active,,
AG629,Parwaz Recruiting Agency,2325 / PWR,Active,,
AG630,Sabeel Recruiting Agency,2326 / MLK,Active,,Malakand
AG631,Max International,2328 / RWP,Active,,Rawalpindi
AG632,Arbaz Enterprises,2330 / KAR,Active,,Karachi
AG633,New Al-Madina Overseas Employment,2331 / PWR,Active,,
AG634,Travel Lines Manpower,2336 / RWP,Active,,Rawalpindi
AG635,Arzoo Travels,2338 / RWP,Active,,Rawalpindi
AG636,Tahaa Enterprises,2339 / SKT,Active,,Sialkot
AG637,Al Mateen Enterprises,2340 / SKT,Active,,Sialkot
AG638,Safari International,2342 / MTN,Active,,
AG639,Raja Majeed International,2343 / RWP,Active,,Rawalpindi
AG640,Al-Hijrah International,2345 / RWP,Active,,Rawalpindi
AG641,Industrial Kinetics Engineering Services,2346 / KAR,Active,,Karachi
AG642,Bajwa Enterprises,2348 / SKT,Active,,Sialkot
AG643,Danwa Traders Recruiting Agency,2351 / MLK,Active,,Malakand
AG644,Gujar Khan Express,2358 / RWP,Active,,Rawalpindi
AG645,Grindlays World Wide Services,2362 / RWP,Active,,Rawalpindi
AG646,Takbeer International,2363 / MTN,Active,,
AG647,Al-Dunia Recruiting Agency,2364 / MLK,Active,,Malakand
AG648,Fortune Synergies (PVT) Ltd,2365 / KAR,Active,,Karachi
AG649,Tribal Overseas Employment Promoters,2367 / RWP,Active,,Rawalpindi
AG650,Daulat Raza Khan Corp.,2368 / MLK,Active,,Malakand
AG651,Kanju Overseas Corporation,2369 / MLK,Active,,Malakand
AG652,Adamjee Manpower Services,2370 / LHR,Active,,Lahore
AG653,Elegant Manpower Services,2372 / MLK,Active,,Malakand
AG654,Karachi International Traders,2373 / KAR,Active,,Karachi
AG655,Banglani Enterprises,2374 / KAR,Active,,Karachi
AG656,M.Butt Traders,2375 / KAR,Active,,Karachi
AG657,Raabi Enterprises,2376 / RWP,Active,,Rawalpindi
AG658,Rimshah Travel Tourism and Human Resource Consultant,2378 / RWP,Active,,Rawalpindi
AG659,Duaa-e-Kainat,2379 / LHR,Active,,Lahore
AG660,Mahail Overseas Employment Promoters,2380 / PWR,Active,,
AG661,Ali Salman International,2381 / MTN,Active,,
AG662,Al-Esar Travels,2383 / DGK,Active,,D.G. Khan
AG663,Tashkeel International,2386 / RWP,Active,,Rawalpindi
AG664,Al Qavi Corporation,2388 / RWP,Active,,Rawalpindi
AG665,Gulf Overseas Technical Services,2390 / RWP,Active,,Rawalpindi
AG666,Zilkifal Enterprises,2392 / RWP,Active,,Rawalpindi
AG667,Yadgar Recruiting Agency,2394 / MLK,Active,,Malakand
AG668,Sarwet Anwar Enterprises,2395 / LHR,Active,,Lahore
AG669,Leepa Manpower,2396 / RWP,Active,,Rawalpindi
AG670,Kallar Enterprises,2397 / RWP,Active,,Rawalpindi
AG671,Jalwal Enterprises,2399 / RWP,Active,,Rawalpindi
AG672,Happy Home World wide Manpower Exporters,2401 / LHR,Active,,Lahore
AG673,Gujranwala Employment Bureau,2403 / SKT,Active,,Sialkot
AG674,Sambat International Recruiting Agency,2405 / MLK,Active,,Malakand
AG675,Chand Tara Recruiting Overseas Employment Promoter,2407 / PWR,Active,,
AG676,Khan Saray International Recruiting Agency,2408 / MLK,Active,,Malakand
AG677,Progressive Manpower Services,2409 / RWP,Active,,Rawalpindi
AG678,Al-Nayyab International,2410 / MLK,Active,,Malakand
AG679,Al-Mahid Air Travels,2411 / LHR,Active,,Lahore
AG680,Areeba Enterprises,2412 / LHR,Active,,Lahore
AG681,Azka International (Pvt) ltd,2413 / LHR,Active,,Lahore
AG682,Ata International,2414 / RWP,Active,,Rawalpindi
AG683,Kokab International Recruiting Agency,2415 / RWP,Active,,Rawalpindi
AG684,Ultra Bright Future,2420 / LHR,Active,,Lahore
AG685,Dar-ul-Saeed Manpower Bureau,2422 / LHR,Active,,Lahore
AG686,Amazing Overseas Corporation,2424 / PWR,Active,,
AG687,Aabshar Recruiting Agency,2426 / RWP,Active,,Rawalpindi
AG688,C.M.S International,2427 / LHR,Active,,Lahore
AG689,Mehtab Khan Trading Corporation,2435 / SKT,Active,,Sialkot
AG690,Abid Air International (Pvt) Ltd,2436 / LHR,Active,,Lahore
AG691,Al-Hazam International,2441 / RWP,Active,,Rawalpindi
AG692,Hadeeqa Manpower Express,2442 / SKT,Active,,Sialkot
AG693,Kamal Zai International Overseas Employment Promoters,2446 / MLK,Active,,Malakand
AG694,Essential Manpower Consultant,2447 / RWP,Active,,Rawalpindi
AG695,Marwat Manpower Exporters,2449 / PWR,Active,,
AG696,Al Jannat Enterprises,2451 / LHR,Active,,Lahore
AG697,Shahzaib International,2453 / MTN,Active,,
AG698,Union Manpower Services,2458 / RWP,Active,,Rawalpindi
AG699,Latif Manpower Services,2463 / LHR,Active,,Lahore
AG700,Soneri Overseas,2464 / KAR,Active,,Karachi
AG701,Sana Ullah Nawaz International,2465 / MTN,Active,,
AG702,Step In International,2466 / RWP,Active,,Rawalpindi
AG703,Shah Ghazi International,2467 / KAR,Active,,Karachi
AG704,Super Pak World Travel and Manpower Promotor,2468 / SKT,Active,,Sialkot
AG705,Ellahi Enterprises,2477 / LHR,Active,,Lahore
AG706,Shabbir Enterprises,2479 / RWP,Active,,Rawalpindi
AG707,Vinhar Pvt. Ltd,2480 / LHR,Active,,Lahore
AG708,Skilled Overseas Employment,2481 / LHR,Active,,Lahore
AG709,Al Daim International Srvices,2486 / LHR,Active,,Lahore
AG710,Executive Services Bureau,2488 / KAR,Active,,Karachi
AG711,Mangwal Enterprises,2490 / RWP,Active,,Rawalpindi
AG712,Future -4-U Services,2492 / LHR,Active,,Lahore
AG713,Maymoon Ashfaq Manpower Overseas Employment,2494 / SKT,Active,,Sialkot
AG714,Linkers Trade International,2495 / KAR,Active,,Karachi
AG715,The Friends Overseas Services,2498 / RWP,Active,,Rawalpindi
AG716,Aeyzaz Enterprises,2499 / RWP,Active,,Rawalpindi
AG717,Al-Salwa National Manpower,2500 / RWP,Active,,Rawalpindi
AG718,Ghazni International,2504 / LHR,Active,,Lahore
AG719,Bandala Employment Bureau,2505 / LHR,Active,,Lahore
AG720,Orwa Manpower Bureau,2506 / DGK,Active,,D.G. Khan
AG721,National Centre for Recruitment,2507 / LHR,Active,,Lahore
AG722,Fix Trade International,2509 / KAR,Active,,Karachi
AG723,Pak Arabian Manpower Services,2511 / RWP,Active,,Rawalpindi
AG724,Araak Overseas Employment Promoters,2512 / PWR,Active,,
AG725,Sammar Corporation,2514 / RWP,Active,,Rawalpindi
AG726,Abdul Ahad & Brothers,2515 / RWP,Active,,Rawalpindi
AG727,B.M.R. International,2517 / LHR,Active,,Lahore
AG728,Kash and Kamal promoters,2518 / RWP,Active,,Rawalpindi
AG729,Al-Fahad Manpower Bureau,2519 / RWP,Active,,Rawalpindi
AG730,Royal Traders,2520 / RWP,Active,,Rawalpindi
AG731,M.Y.B International,2526 / KAR,Active,,Karachi
AG732,Sojhla International,2527 / DGK,Active,,D.G. Khan
AG733,Al-Waheed Manpower Consultant,2529 / LHR,Active,,Lahore
AG734,Askari Guards (PVT) Ltd,2531 / RWP,Active,,Rawalpindi
AG735,Undlus International,2538 / KAR,Active,,Karachi
AG736,Riverside Enterprises,2541 / LHR,Active,,Lahore
AG737,Maple International,2543 / RWP,Active,,Rawalpindi
AG738,Jeddah Manpower Recruiting Agency,2548 / LHR,Active,,Lahore
AG739,Omer Asghar Manpower Bureau,2549 / LHR,Active,,Lahore
AG740,Elan International,2550 / LHR,Active,,Lahore
AG741,New Rajput Manpower,2551 / RWP,Active,,Rawalpindi
AG742,Khan Overseas Employment Enterprises,2552 / RWP,Active,,Rawalpindi
AG743,B.F Expert Manpower,2554 / LHR,Active,,Lahore
AG744,Asfandyar International Recruiting Agency,2555 / MLK,Active,,Malakand
AG745,Lolaab Enterprises (Pvt) Ltd.,2556 / RWP,Active,,Rawalpindi
AG746,Aslam Doria Job Center,2557 / KAR,Active,,Karachi
AG747,Al-Fatiha Manpower Services,2558 / LHR,Active,,Lahore
AG748,Azad Jammun & Kashmir Enterprises,2559 / RWP,Active,,Rawalpindi
AG749,Al-Azam Manpower Services,2562 / RWP,Active,,Rawalpindi
AG750,Right Way Travels & Toures,2563 / LHR,Active,,Lahore
AG751,Twin Cities International,2566 / RWP,Active,,Rawalpindi
AG752,Al-Siyaf Manpower Services,2567 / LHR,Active,,Lahore
AG753,Potential Power International,2569 / KAR,Active,,Karachi
AG754,Qurtaba Al-Jadeed Manpower,2571 / LHR,Active,,Lahore
AG755,Shahzad Umar International,2573 / KAR,Active,,Karachi
AG756,Yaseen International Overseas Employment Promoters,2574 / SKT,Active,,Sialkot
AG757,Abdullah Trading Corporation,2575 / RWP,Active,,Rawalpindi
AG758,Endless Overseas Employment Promoters,2577 / RWP,Active,,Rawalpindi
AG759,New Al-Hadeed Enterprises,2578 / LHR,Active,,Lahore
AG760,Ammar International,2581 / MLK,Active,,Malakand
AG761,Kalyam Enterprises,2589 / RWP,Active,,Rawalpindi
AG762,Lasani Services Bureau,2595 / SKT,Active,,Sialkot
AG763,Sohail Waqas Manpower Bureau,2597 / MTN,Active,,
AG764,Pak Future International,2599 / RWP,Active,,Rawalpindi
AG765,Talagang International,2600 / RWP,Active,,Rawalpindi
AG766,Royal Technical Manpower Services,2602 / SKT,Active,,Sialkot
AG767,Front Line Corporation,2604 / LHR,Active,,Lahore
AG768,Fallah Enterprises,2607 / PWR,Active,,
AG769,Nathial Corporation,2608 / RWP,Active,,Rawalpindi
AG770,Al Mansoor Overseas Employment Recruiting Agency,2609 / MLK,Active,,Malakand
AG771,Asiatic Manpower Services,2616 / RWP,Active,,Rawalpindi
AG772,Hawk Overseas,2618 / PWR,Active,,
AG773,New Khyber Enterprises,2619 / RWP,Active,,Rawalpindi
AG774,Jeewan OEP,2621 / KAR,Active,,Karachi
AG775,Aaqib Overseas Employment,2622 / RWP,Active,,Rawalpindi
AG776,M.R Janjua Manpower (Pvt. Ltd.),2624 / RWP,Active,,Rawalpindi
AG777,Al-Warda Enterprises,2625 / SKT,Active,,Sialkot
AG778,Younis Rasheed International,2626 / DGK,Active,,D.G. Khan
AG779,Khayam Manpower Bureau,2630 / RWP,Active,,Rawalpindi
AG780,Tangi Overseas Employment,2632 / PWR,Active,,
AG781,Barkat Enterprises,2633 / LHR,Active,,Lahore
AG782,Ghazi Overseas Employment,2636 / KAR,Active,,Karachi
AG783,Yumnah Overseas Employment Promoters,2637 / MTN,Active,,
AG784,North Star Trading,2638 / RWP,Active,,Rawalpindi
AG785,Sardar Sadiq Enterprises,2639 / RWP,Active,,Rawalpindi
AG786,Abdul Rehman Naveed International,2640 / MTN,Active,,
AG787,Nowsherwan International,2641 / RWP,Active,,Rawalpindi
AG788,Pak Gulf Overseas Employment Services,2643 / RWP,Active,,Rawalpindi
AG789,Fear God Manpower Supply,2645 / SKT,Active,,Sialkot
AG790,Madina-Tul-Olia International Bureau,2649 / MTN,Active,,
AG791,Abdullah Bin Abid Enterprises,2654 / SKT,Active,,Sialkot
AG792,Ocean Enteprises,2655 / SKT,Active,,Sialkot
AG793,Peak Star International Overseas Employment Promoter,2656 / SKT,Active,,Sialkot
AG794,New Gulf Pak Recuriting Agency,2659 / RWP,Active,,Rawalpindi
AG795,Duaa Manpower Recruiting Agency,2661 / RWP,Active,,Rawalpindi
AG796,Sunshine Enterprises,2662 / RWP,Active,,Rawalpindi
AG797,Munir Enterprises,2663 / MLK,Active,,Malakand
AG798,Anmol Manpower Exporters,2664 / LHR,Active,,Lahore
AG799,Kannah Kashmir International,2665 / RWP,Active,,Rawalpindi
AG800,Sky Star International,2667 / MTN,Active,,
AG801,International Resource Service,2668 / RWP,Active,,Rawalpindi
AG802,Waris Shah Recruiting Agency,2669 / LHR,Active,,Lahore
AG803,Mirza Gee Manpower Services,2671 / LHR,Active,,Lahore
AG804,Razhco International,2676 / MTN,Active,,
AG805,Aero Cares Manpower,2677 / MLK,Active,,Malakand
AG806,Jan Muhammad & Brothers,2678 / KAR,Active,,Karachi
AG807,Pak Shahbaz Entp,2680 / KAR,Active,,Karachi
AG808,Safeer-e-Watan,2682 / LHR,Active,,Lahore
AG809,Nazim Enterprises,2687 / MLK,Active,,Malakand
AG810,Star Line Recruiting Agency,2694 / MLK,Active,,Malakand
AG811,Al-Kamil Enterprises,2695 / RWP,Active,,Rawalpindi
AG812,Al-Taqbeer International,2696 / SKT,Active,,Sialkot
AG813,Said Rasool Recruiting Agency,2699 / PWR,Active,,
AG814,Abu Murad Enterprises,2700 / RWP,Active,,Rawalpindi
AG815,Terich Mir Overseas Employment Promoter,2701 / PWR,Active,,
AG816,World Enterprises,2705 / KAR,Active,,Karachi
AG817,Mohammad Umar Enterprises Overseas Employment Promoter,2709 / RWP,Active,,Rawalpindi
AG818,S.A.Z.Universal Link,2710 / KAR,Active,,Karachi
AG819,Chichi Enterprises,2711 / MLK,Active,,Malakand
AG820,Al Qais International,2712 / DGK,Active,,D.G. Khan
AG821,Al-Mansoor Corporation,2714 / RWP,Active,,Rawalpindi
AG822,Mohsin Faiz Brs,2715 / KAR,Active,,Karachi
AG823,New Age Recruiting Agency,2716 / PWR,Active,,
AG824,Al-Saqlain Brothers,2718 / KAR,Active,,Karachi
AG825,Barani Manpower Consultants,2719 / KAR,Active,,Karachi
AG826,The Master Manpower Bureau,2720 / RWP,Active,,Rawalpindi
AG827,Al-Ryaan Overseas Traders,2721 / PWR,Active,,
AG828,Ibrahim Enterprises,2723 / PWR,Active,,
AG829,Al-Dahran Overseas Employment Promoter,2724 / GRT,Active,,Gujrat
AG830,Al-Bakhsh Recruiting Agency,2727 / MTN,Active,,
